description,biddable,startprice,condition,cellular,carrier,color,storage,productline,UniqueID
,0,239,Manufacturer refurbished,1,AT&T,Unknown,32,iPad 2,12534
"This item has been previously used.  The item may have some signs of cosmetic wear, but is fully ",0,182.77,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12535
,0,279,New,0,None,White,16,iPad mini,12536
,0,299.99,Used,0,None,Black,32,iPad 4,12537
,0,280,New,0,None,Unknown,16,iPad mini,12538
,0,350,Used,0,None,Unknown,16,iPad Air,12539
,0,220,Used,0,None,White,16,iPad 3,12540
,0,579.99,New,0,None,Unknown,64,iPad Air 2,12541
,0,120,Seller refurbished,Unknown,Unknown,Black,16,iPad 1,12542
,0,190,Used,1,Verizon,White,32,iPad 2,12543
,0,510,New,Unknown,Unknown,Space Gray,16,iPad mini 3,12544
,0,250,Used,Unknown,Unknown,White,16,iPad 2,12545
There is only one tiny dent on it. But you can barely see it.,0,300,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12546
,0,400,Used,0,None,White,32,iPad 4,12547
,0,820,Used,0,None,White,128,iPad Air,12548
,0,149.99,For parts or not working,1,Verizon,Unknown,32,iPad 3,12549
"Stuck on intro screen, read description below.",0,105,For parts or not working,1,AT&T,Black,16,iPad 3,12550
,1,100,For parts or not working,1,AT&T,Unknown,16,iPad 4,12551
,0,119,For parts or not working,0,None,Black,16,iPad mini 2,12552
Power button does not work.,0,69,For parts or not working,0,None,Unknown,16,iPad 1,12553
,0,80,For parts or not working,0,None,Unknown,16,iPad 2,12554
,1,50,For parts or not working,0,None,Unknown,32,iPad 2,12555
,1,49,For parts or not working,0,None,Unknown,16,iPad 2,12556
****read description****----I cloud account need to activate it&#039;s like new,0,150,For parts or not working,Unknown,Unknown,White,Unknown,Unknown,12557
,1,70,For parts or not working,0,None,Black,16,iPad 2,12558
,1,0.5,For parts or not working,0,None,Unknown,16,iPad 3,12559
iCloud Locked,0,79.95,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12560
"iPad is in fair condition, minimal wear and tear. iPad has cracked screen. iPad will not power on. ",0,119.99,For parts or not working,0,None,Unknown,16,iPad 4,12561
3 of 5. This item is NOT working properly. Please read the entire listing carefully before ,0,99.99,For parts or not working,0,None,Unknown,32,iPad mini,12562
,1,35,For parts or not working,0,None,White,64,iPad 1,12563
,1,20,For parts or not working,0,None,Space Gray,32,iPad Air,12564
,0,99.95,For parts or not working,1,Unknown,Unknown,32,iPad 4,12565
daughter dropped cracked screen.  got some water in the cracks.  screen lights but you can&#039;t see ,1,10,For parts or not working,0,None,Unknown,16,iPad mini,12566
ipad is in great physical condition but is icloud locked,1,1,For parts or not working,0,None,White,16,iPad mini,12567
,1,0.99,For parts or not working,0,None,Black,16,iPad 2,12568
,1,0.99,For parts or not working,1,Verizon,Space Gray,16,iPad Air,12569
,1,20,For parts or not working,0,None,Space Gray,16,iPad mini,12570
Item is iCloud locked - Please see all the pictures for any additional information,1,59.99,For parts or not working,0,None,Unknown,16,iPad 2,12571
"Being previously owned will show signs of wear.  Normal wear consist of cosmetic dings, dents, and ",1,30,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12572
,1,9.5,For parts or not working,1,Unknown,Black,64,iPad 1,12573
Cracked screen. Item sell as is.,0,139.99,For parts or not working,0,None,Unknown,16,iPad mini,12574
,1,90,For parts or not working,0,None,Unknown,16,iPad Air,12575
,0,229,For parts or not working,Unknown,Unknown,Unknown,16,iPad Air,12576
FUNCTIONS. ICLOUD IS LOCKED. IN EXCELLENT PHYSICAL CONDITION. PLEASE SEE PICTURES FOR MORE ,1,0.99,For parts or not working,Unknown,Unknown,White,Unknown,Unknown,12577
,0,63,For parts or not working,Unknown,Unknown,Unknown,64,Unknown,12578
,1,35,For parts or not working,0,None,Black,16,iPad 4,12579
THE FRONT GLASS IS CRACKED. Power/Unlock button does not work,0,65,For parts or not working,0,None,Unknown,16,iPad 2,12580
,1,0.99,For parts or not working,0,None,Unknown,16,iPad 2,12581
,1,29.99,For parts or not working,Unknown,Unknown,White,16,iPad 1,12582
,0,30,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad 1,12583
,1,75,For parts or not working,0,None,White,16,iPad Air,12584
,1,99.95,For parts or not working,0,None,White,16,iPad mini,12585
,1,0.99,For parts or not working,0,None,Unknown,32,iPad 2,12586
,1,89,For parts or not working,0,None,White,64,iPad mini,12587
It works but there is something wrong with the I pad. It will shut down and reboot on its own and ,1,20,For parts or not working,0,None,White,16,iPad mini,12588
Please note that this unit is in great condition but is locked under another Apple ID,1,149.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12589
,1,75,For parts or not working,0,None,White,16,iPad mini,12590
,1,50,For parts or not working,Unknown,Unknown,Unknown,64,iPad 1,12591
"Please note that this unit is in working condition, but is locked with another Apple ID",1,99.99,For parts or not working,0,None,Unknown,16,iPad mini 2,12592
,0,350,New other (see details),1,AT&T,White,16,iPad mini 2,12593
,1,49.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,iPad 3,12594
turns on fine but Icloud locked. Broken screen,1,9.99,For parts or not working,0,None,White,16,iPad 2,12595
,1,1,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12596
"iPad restarts every 3,4 seconds. We are unable to reset it. Item is in very good cosmetic. iPAD ",1,0.01,For parts or not working,0,None,Black,32,iPad 4,12597
Touch screen on this iPad is not working. Home button does not seem to be working either. Selling AS ,0,106.95,For parts or not working,0,None,Black,16,iPad 2,12598
Cracked screen.  Has difficulty charging.  Good for Parts/repair.,1,20,For parts or not working,1,AT&T,Black,16,Unknown,12599
,0,220,For parts or not working,Unknown,Unknown,White,64,iPad 3,12600
Front screen is broken. Is in full working condition.  Works great!,1,85,For parts or not working,0,None,Black,16,iPad mini,12601
"Listing is for an iPad Mini Framing and board.  The ipad powers on, but the board has issues with ",0,49.99,For parts or not working,0,None,Unknown,64,iPad mini,12602
Locked with iCloud. No password. Can be operated. Cannot be reactivated. Find my iPad is ON.,0,99.99,For parts or not working,0,None,White,16,iPad mini,12603
,0,125,For parts or not working,0,None,Black,16,iPad 2,12604
,1,0.99,For parts or not working,0,None,Unknown,32,iPad 2,12605
,1,0.01,For parts or not working,0,None,Unknown,16,iPad 2,12606
Locked with iCloud. Cannot be activated.,0,79.99,For parts or not working,0,None,White,16,iPad mini,12607
,1,0.99,For parts or not working,Unknown,Unknown,Unknown,16,Unknown,12608
"LCD is cracked, otherwise it works fine.",1,110,For parts or not working,Unknown,Unknown,Unknown,16,Unknown,12609
,0,114.48,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12610
,1,10,For parts or not working,0,None,Unknown,32,iPad mini 2,12611
,1,9.99,For parts or not working,0,None,Space Gray,16,iPad mini,12612
,0,200,For parts or not working,0,None,Black,16,iPad 4,12613
"Powers on, but has cracked screen. Includes unit only, and nothing else. Item is defective and does ",0,99.99,For parts or not working,0,None,Space Gray,Unknown,iPad mini,12614
iPad 1st GENERATION 64GB WIFI ONLY. WITH ORIGINAL BOX.  SHOULD BE GOOD. BUT HAS NOT BEEN TESTED,0,150,For parts or not working,0,None,Unknown,64,iPad 1,12615
"Bad screen, bad home button, displays. Includes unit only, and nothing else. Unit is not icloud ",0,69.99,For parts or not working,0,None,Black,16,iPad 2,12616
Cracked screen on top right corner. Item sell as is.,0,139.99,For parts or not working,0,None,Unknown,16,iPad mini,12617
,0,119.99,For parts or not working,0,None,Unknown,16,iPad mini,12618
,1,80,For parts or not working,0,None,Black,32,iPad Air,12619
"iPad is in good condition, has minimal wear and tear. iPad will not power on. SOLD AS-IS! FOR PARTS ",0,49.99,For parts or not working,0,None,Unknown,16,iPad 2,12620
"THIS PRODUCT IS ICLOUD SEALED / ICLOUD LOCKED, UNUSABLE FOR ACTIVATION, SOLD STRICTLY AS IS FOR ",1,0.99,For parts or not working,0,None,Black,16,Unknown,12621
Cracked Screen,0,145,For parts or not working,0,None,White,16,iPad 2,12622
Crack on screen.  This screen was a replacement screen.  Dent in upper right hand corner,1,10.99,For parts or not working,0,None,White,16,iPad mini,12623
,0,109.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,12624
"Lot of 10 mixed iPad minis. Colors,models &amp; storage capacity vary between each lot. There may be ",0,999.99,For parts or not working,Unknown,Unknown,White,Unknown,Unknown,12625
,0,85,For parts or not working,0,None,Unknown,16,iPad mini,12626
BROKEN SCREEN,0,85,For parts or not working,Unknown,Unknown,White,16,iPad 2,12627
For parts. As-Is. Cosmetically in good condition.,0,99.99,For parts or not working,Unknown,Unknown,White,16,iPad mini,12628
PROFESSIONALLY REFURBISHED in GOOD CONDITION in ORIGINAL APPLE BOX - COMES WITH 30 DAY WARRANTY !!!,0,249.99,Seller refurbished,0,None,White,16,iPad 4,12629
,1,200,Used,0,None,Black,16,iPad 3,12630
It is a 32GB model plus 3G but we don&#039;t know what carrier so we are selling as a 32GB wifi.  Maybe ,0,109.99,For parts or not working,0,None,Unknown,32,iPad 2,12631
,0,554.77,New,Unknown,Unknown,Unknown,Unknown,Unknown,12632
,0,549.99,New,0,None,Unknown,128,iPad Air,12633
Good condition IPAD 2 32gb wifi + 3g verizon. LOT OF FIVE.,0,700,Used,1,Verizon,Unknown,32,iPad 2,12634
,1,0.99,Used,1,Unknown,Gold,16,iPad mini 3,12635
,0,229,Used,1,AT&T,Unknown,16,iPad 4,12636
,0,179,Used,1,Unknown,White,32,iPad 2,12637
Great condition,0,219.99,Used,0,None,White,32,iPad 3,12638
IPAD 2 64GB BLACK MODEL MC916LL/A WIFI ONLY MODEL.  PICTURE OF IPAD IS ACTUAL UNIT YOU WILL RECEIVE. ,1,49.99,For parts or not working,0,None,Black,64,iPad 2,12639
Excellent shape and tested fully functional!,0,149.95,Used,0,None,Black,64,iPad 2,12640
Great condition,0,289.98,Used,0,None,White,16,iPad 3,12641
,0,72,For parts or not working,0,None,Black,16,iPad 2,12642
,1,55,Used,0,None,White,16,iPad 1,12643
"Great condition.  iPad only, no charger included.",0,89.95,Used,1,AT&T,Unknown,64,iPad 1,12644
"This is a pre-owned device. It is in very good condition and may have signs of minimal wear, but ",0,199,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,12645
,0,100,Used,Unknown,Unknown,White,64,iPad 1,12646
"This is a pre-owned device. It is in very good condition and may have signs of minimal wear, but ",0,199,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,12647
These items may have a few scratches and dents due to it being previously used. The item may have ,1,99.98,Seller refurbished,1,Verizon,White,16,iPad 4,12648
These items may have a few scratches and dents due to it being previously used. The item may have ,1,99.98,Seller refurbished,0,None,White,32,iPad 4,12649
This device is in fair cosmetic condition; it has signs of significant wear and tear including ,0,169.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,12650
New ----&gt; No box or accessories. Full warranty.,0,188.88,New other (see details),0,None,Space Gray,16,iPad mini,12651
,0,439.99,New,1,Unknown,Unknown,16,iPad mini 3,12652
very Nice,1,50,Used,0,None,Unknown,64,iPad 1,12653
"Crack on digitizer near top. Top line of digitizer does not respond to touch. Other than that, all ",0,104,For parts or not working,1,Unknown,Black,16,iPad 2,12654
,0,95,Used,1,AT&T,Unknown,64,iPad 1,12655
,1,199.99,Manufacturer refurbished,0,None,White,16,iPad 4,12656
,0,149.99,Used,0,None,Unknown,16,iPad 2,12657
,0,7.99,New,Unknown,Unknown,Unknown,Unknown,iPad 3,12658
"Slightly Used. Includes everything you need plus a nice leather case!
There is a slice mark on the ",0,139,Used,1,Unknown,Black,32,Unknown,12659
