description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
"Pre-owned but in perfect working order, no scratches or chips.",1,200,Used,1,AT&T,White,16,iPad mini 2,1,10652
,1,200,New,Unknown,Unknown,Space Gray,32,iPad mini 2,1,10653
,1,220,Used,1,Verizon,Black,16,iPad 3,1,10654
In Great Condition with normal light scratches/usage,0,349.95,Used,1,AT&T,Unknown,16,iPad Air,0,10655
,1,225,Used,1,T-Mobile,Unknown,16,iPad Air,1,10656
&#034;Great Working Condition&#034;,1,0.99,Used,1,AT&T,White,16,iPad mini 2,1,10657
,1,100,Used,1,AT&T,Unknown,64,iPad 1,0,10658
Good condition fully functional. Does show some signs of wear but these were used in corporate ,1,0.01,Used,1,AT&T,Unknown,16,iPad 2,1,10659
,0,329.99,New,0,None,White,16,iPad mini 3,0,10660
"Listed as used, because it is.Works like new, Looks like new, Excellant screen color, No scratches ",1,55,Used,1,Verizon,Black,64,iPad 1,1,10661
Scratches on screen but not too noticeable. scratches on back. Fully functional,1,100,Used,1,AT&T,Unknown,32,iPad mini,1,10662
This item is used but well taken care of no cosmetic wears at all . Any other questions feel free to ,0,250,Used,0,None,Unknown,16,iPad mini,0,10663
I pad 2 great condition with keyword and cover,0,180,Used,0,None,Unknown,32,iPad 2,1,10664
"100% Fully Functional, Clean ESN &amp; iCloud Clear, professionally restored, inspected, &amp; tested. This ",0,127.99,Seller refurbished,1,Verizon,Black,16,iPad 2,0,10665
"Great Condition, No charger",1,0.01,Used,0,None,Unknown,16,iPad 2,1,10666
,0,89.99,Used,0,None,Black,16,iPad mini,0,10667
"New Open Box, see pics and description below",0,469.99,New other (see details),1,Unknown,Space Gray,64,iPad mini 3,0,10668
,1,0.99,Used,0,None,White,16,iPad 4,1,10669
,1,50,Used,0,None,Unknown,64,iPad 1,1,10670
,1,400,Used,1,Unknown,Unknown,128,iPad 4,0,10671
,1,99.99,Used,0,None,White,16,iPad mini 2,1,10672
,1,179.99,Used,0,None,White,16,iPad 2,0,10673
iPad is iCL0UD locked and therefore being sold AS IS for parts. iPad is in NEAR MINT physical ,0,222.72,Used,0,None,Unknown,32,iPad mini 2,0,10674
"Has two scratches, not too visible. Works great its like new, still have everything, only missing ",0,280,Used,0,None,White,16,iPad Air,1,10675
Awesome condition. Rarely used,0,285,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,10676
This is my personal iPad and it is in excellent used condition. This iPad has been in a top quality ,1,79,Used,0,None,Unknown,16,iPad 1,1,10677
,1,99,Used,1,AT&T,White,32,iPad 3,1,10678
But in excellent condition. with 2 new cases and zagg keyboard 7 color&#039;s and screen on it! with Free ,0,387.45,Used,0,None,Black,64,iPad mini,0,10679
,1,239.99,New,0,None,Space Gray,16,iPad mini 2,0,10680
Normal signs of wear and tear. Scratches on the back. See pictures. Comes with light blue magnetic ,0,175,Used,0,None,Unknown,16,iPad 2,0,10681
,0,438,New,0,None,White,32,iPad Air,0,10682
Comes with folding black case and is engraved in small letters on the back.  Still works perfectly,1,140,Used,0,None,Unknown,32,iPad 2,0,10683
,1,139.99,Used,0,None,Black,16,iPad 4,1,10684
,1,99.99,Used,0,None,Space Gray,16,iPad mini,1,10685
In good condition with slight dents on two corners does not effect iPad performance. Please see ,0,199,Used,Unknown,Unknown,Black,Unknown,iPad 3,1,10686
Swiped memory. Just like new.,1,80,Used,0,None,White,Unknown,iPad 1,0,10687
"Opened box, functional, no cosmetic damages, includes accessories. Please contact us with any ",1,0.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,10688
,0,200,New other (see details),0,None,Unknown,16,iPad mini,1,10689
Fully working. Normal wear and tear.  iPad ONLY.,0,185,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,10690
"Brand new, never been used. Plastic has not been removed from iPad, however the box is not sealed in ",1,449.99,New other (see details),Unknown,Unknown,Gold,16,iPad mini 3,0,10691
"Comes with original packaging, and has absolutely no scratches or marks.Absolutely beautiful item!It ",1,49.99,Used,0,None,Unknown,16,iPad Air,1,10692
New Open Box,0,259.99,New other (see details),1,Sprint,Black,64,iPad mini,1,10693
GOOD COSMETIC AND PERFECT WORKING CONDITION! HAS JUST TWO DENTS ON CORNERS! SCREEN FREE OF ,1,149,Used,0,None,Space Gray,16,iPad mini,1,10694
"New open box appears to be new, liquidation stock powers on works as it should.",1,175,New other (see details),0,None,White,16,iPad mini,0,10695
Lightly used. The ipad has spent most of its time protected by an Otterbox while in storage. Works ,1,150,Used,1,Unknown,White,64,iPad 3,1,10696
used but works great and outer condition great,1,50,Used,Unknown,Unknown,Unknown,64,iPad 1,1,10697
,1,1,New,1,Sprint,Gold,64,iPad Air 2,1,10698
"Excellent condition, no scratches or defects. Fully Functional. Been kept in case and screen ",1,9.99,Used,0,None,White,64,iPad 1,1,10699
,0,319.99,Used,1,Verizon,Unknown,64,iPad 4,0,10700
,0,194.95,Used,1,Verizon,Black,64,iPad 2,1,10701
,1,80,Used,0,None,White,16,iPad 4,1,10702
,1,218,Used,1,AT&T,Black,16,iPad 4,1,10703
,1,0.99,Used,0,None,White,16,iPad 4,1,10704
Brand New except the box was opened but unused.,1,210,New other (see details),0,None,Space Gray,16,iPad mini,0,10705
"Ipad was only used a few times and is in mint like new condition. Comes with a high speed charger, ",1,150,Used,0,None,Black,16,iPad 1,0,10706
THIS MINI IS IN GREAT CONDITION!!,0,429,Used,1,Verizon,Black,32,iPad mini,0,10707
"In working condition, cosmetic damages to the housing that do not affect its function. Fully ",1,0.99,Used,1,AT&T,Black,16,iPad 1,1,10708
,0,215.99,Used,0,None,Unknown,32,iPad 2,0,10709
,0,219.99,New,0,None,Space Gray,16,iPad mini,0,10710
,0,199.99,Used,0,None,White,16,iPad mini,0,10711
Minor signs of use on screen and back.  Nothing that affects function.,1,0.99,Used,1,AT&T,Black,64,iPad 1,1,10712
"Excellent condition, no scratches or defects. Fully Functional. Been kept in case and screen ",1,9.99,Used,0,None,White,64,iPad 1,1,10713
Used. Absolute must-have. Some signs of use. Scratches on the back of the tablet. See photos. Comes ,1,112,Used,0,None,Unknown,32,iPad 2,1,10714
Used,1,89.99,Used,1,Other,Gold,16,iPad 3,1,10715
,1,80,Used,1,AT&T,Black,16,iPad 4,1,10716
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,288,Used,1,Verizon,White,16,iPad 2,1,10717
Customer Returned ITem - 2 Corners dented - Small Scuffs,0,159.95,Seller refurbished,Unknown,Unknown,Unknown,Unknown,iPad mini,0,10718
,0,319,Used,1,Sprint,Space Gray,16,iPad Air,0,10719
,1,10,Used,1,Unknown,Unknown,16,iPad 3,1,10720
Great condition! Minor scratches on back.,1,99.99,Used,0,None,White,32,iPad 3,1,10721
"Includes AC adapter, case, screen protector and box; Case and screen protector have scuffs and ",1,244.96,Used,0,None,White,32,iPad 4,0,10722
Absolute must-have. Signs of use. Scratches on the back of the device. Check out the photos. Item ,1,56,Used,0,None,Unknown,16,iPad 1,1,10723
,0,340,New,0,None,White,16,iPad mini 3,0,10724
,1,129.99,Used,0,None,Space Gray,16,iPad mini,1,10725
"Looks brand new. Doesn&#039;t have the box for it. Only has 1 scratch one it, very small. Not even ",1,0.99,New other (see details),0,None,Black,16,iPad 1,1,10726
,1,150,Used,0,None,White,32,iPad Air,1,10727
,1,79.97,Used,0,None,Black,32,iPad 2,1,10728
This iPad 3 is in great condition. It has been protected the whole time with a ZooGue case. No ,1,0.99,Used,0,None,Black,32,iPad 3,1,10729
,1,300,New,0,None,Space Gray,32,iPad Air,1,10730
,1,459,New,0,None,Unknown,16,iPad Air 2,0,10731
,0,99.99,Used,0,None,Unknown,32,iPad 1,1,10732
The body has some scratches and there are some dings by the charging port and one on the top left ,0,209.99,Used,0,None,Unknown,32,iPad 3,0,10733
,1,19.99,Seller refurbished,0,None,Black,16,iPad mini,1,10734
,0,80,Used,0,None,Black,32,iPad 1,0,10735
"NO RESERVE - Works great, factory reset, has an extremely light and thin surface scratch on the ",1,99.97,Used,1,AT&T,Space Gray,32,iPad mini 2,1,10736
"Near perfect cosmetic, perfect working condition.",0,220,Used,0,None,Unknown,16,iPad 3,0,10737
,1,350,New,0,None,Space Gray,64,iPad Air 2,0,10738
Will contain light scratches and other blemishes.,0,169.99,Used,1,Verizon,Unknown,32,iPad 2,0,10739
WORK PERFECT SOME DINGS PLEASE REFER TO ALL PICTURES....,1,100,Used,0,None,Black,64,iPad 3,1,10740
Item is used and shows general wear associated with normal use. It has visible cosmetic ,1,199.97,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,10741
,0,559.99,New,0,None,Gold,128,iPad mini 3,0,10742
,1,90,Used,0,None,Unknown,16,iPad 1,0,10743
One year old bought brand new,0,320,New other (see details),Unknown,Unknown,Black,16,iPad Air,0,10744
,1,174,New,Unknown,Unknown,Space Gray,16,Unknown,1,10745
,0,400,New,1,Sprint,Unknown,128,iPad 4,0,10746
,0,209,Used,1,AT&T,Unknown,16,iPad 4,0,10747
,1,350,New other (see details),1,Sprint,White,64,iPad mini 2,0,10748
,1,95,Used,1,Verizon,Black,64,iPad 3,1,10749
Slight crack on very top screen.,1,0.99,Used,0,None,Black,16,iPad mini 3,1,10750
,0,200,Used,1,Verizon,White,16,iPad 2,0,10751
"I have always kept a case and screen protector on the iPad. I only used it at home, so it&#039;s in mint ",1,265,Used,1,T-Mobile,Unknown,16,iPad Air,0,10752
Good Condition. Fully Functional.,1,0.99,Used,0,None,White,16,iPad 2,1,10753
Good Condition,0,149.99,Used,0,None,Black,16,iPad 2,1,10754
Good working and fully functional 16GB iPad Air Wifi &amp; cellular. Please read full discription,1,199,Used,1,AT&T,Space Gray,16,iPad Air,1,10755
,1,125,Used,0,None,Unknown,16,iPad 3,1,10756
,1,75,Used,0,None,White,16,iPad 2,1,10757
,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10758
"Used, in super great condition plastic is till on, used for less than a year",1,99.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,10759
,1,150,Used,0,None,Black,16,Unknown,0,10760
,1,0.99,Used,1,Verizon,Black,64,iPad 3,1,10761
,1,449.99,New,0,None,Unknown,64,iPad mini 3,0,10762
,0,180,New,0,None,Black,32,iPad 1,1,10763
,0,400,Used,0,None,Black,64,iPad mini,0,10764
Works great -- One owner,0,249.99,Used,0,None,Black,64,iPad 3,0,10765
,1,199,Used,0,None,Black,16,iPad 3,0,10766
,0,614.99,New other (see details),1,Unknown,Space Gray,128,iPad mini 3,0,10767
Screen is flawless.  There are a few minor scratches on the body.,1,1,Used,1,Verizon,Unknown,16,iPad Air,1,10768
,1,0.99,Used,0,None,Black,16,iPad 1,1,10769
,0,260,Manufacturer refurbished,1,Verizon,Unknown,16,iPad mini,0,10770
Great condition,0,265,Used,0,None,Unknown,16,iPad 4,0,10771
,0,129.99,Used,0,None,Black,64,iPad 1,0,10772
,1,50,New,0,None,White,64,iPad Air 2,1,10773
,1,266.05,Used,0,None,Unknown,16,iPad Air,0,10774
,1,485,New other (see details),0,None,Unknown,64,iPad Air 2,1,10775
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,171,Used,1,Verizon,White,16,iPad 2,0,10776
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ",0,76,Used,0,None,White,16,Unknown,0,10777
VERY special auction for an open box Space Gray iPad Air 2 16gb Cellular. Device is covered under ,1,10,New other (see details),1,Sprint,Space Gray,16,iPad Air 2,1,10778
,1,50,Used,0,None,Black,32,iPad 1,1,10779
,1,129,Used,0,None,White,64,iPad 3,1,10780
This iPad is in very good condition. Includes charger. Slight scratches on back and small bend near ,1,0.01,Used,0,None,Unknown,32,iPad 2,1,10781
,1,1,Manufacturer refurbished,0,None,White,16,iPad 2,1,10782
,0,350,New,0,None,Unknown,16,iPad mini 3,0,10783
,1,50,New,0,None,White,64,iPad Air 2,1,10784
,1,164,Used,0,None,Black,32,iPad 2,0,10785
,1,249.95,Used,0,None,Unknown,16,iPad mini,0,10786
,0,339,New,Unknown,Unknown,Space Gray,Unknown,Unknown,0,10787
,0,200,Used,0,None,Unknown,32,iPad 3,0,10788
,0,160,Used,0,None,Unknown,16,iPad mini,0,10789
In mint condition with all accessories.,1,50,Used,0,None,Black,32,iPad 4,1,10790
,1,395,New,1,Unknown,White,64,iPad 3,0,10791
,1,550,Used,0,None,Gold,128,iPad Air 2,1,10792
,1,800,New,1,Unknown,Gold,128,iPad Air 2,0,10793
Excellent Used Condition. Please see all photos and description.,1,525,Used,0,None,White,128,iPad Air 2,1,10794
No original packaging for keyboard,1,175,Used,1,T-Mobile,White,16,iPad mini 2,1,10795
,1,199.99,Used,Unknown,Unknown,Unknown,16,iPad Air,1,10796
,1,349.99,New,1,Unknown,Space Gray,32,iPad Air,1,10797
,1,50,Used,0,None,Black,64,iPad 1,1,10798
This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ,0,239.99,Used,1,Verizon,White,64,iPad mini,1,10799
New (Open Box),0,565.95,New other (see details),0,None,Space Gray,128,iPad Air,0,10800
,1,180,Used,1,AT&T,Unknown,32,iPad 1,0,10801
,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10802
,0,630,Used,1,Verizon,White,128,iPad Air 2,1,10803
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,89,Used,1,AT&T,White,16,Unknown,0,10804
,1,399,New other (see details),0,None,White,64,iPad Air 2,1,10805
,0,232.99,New,Unknown,Unknown,Space Gray,Unknown,Unknown,0,10806
,0,167.38,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,10807
,1,65,Used,1,AT&T,Black,64,iPad 1,1,10808
"iPad 3 gen. 64GB, white, wifi-only. Condition = good as new, very minor sign of use. No charger. ",0,299,Used,0,None,Unknown,64,iPad 3,0,10809
Good Condition! Fully Functional!,1,0.99,Seller refurbished,0,None,Black,32,iPad 1,1,10810
,1,160,Used,0,None,White,32,iPad mini Retina,1,10811
,1,346,New,0,None,Space Gray,32,iPad Air,1,10812
,1,0.01,Used,0,None,Black,16,iPad mini,1,10813
6 months old.,1,50,New other (see details),0,None,White,16,iPad Air 2,1,10814
,0,299,Used,0,None,Black,16,iPad mini Retina,0,10815
Fully functional. Great condition.,1,0.99,Used,0,None,Gold,16,iPad mini 3,1,10816
,1,0.99,Used,1,Verizon,Unknown,32,iPad 2,1,10817
,0,249.99,New,0,None,Space Gray,16,iPad mini,0,10818
,0,175,Seller refurbished,0,None,Black,16,iPad mini,0,10819
"Refurbished by Best Buy Geek Squad Comes With Apple Manufactures Warranty Good till March 1, 2016",1,0.99,Seller refurbished,1,Unknown,Gold,16,iPad Air 2,1,10820
"This item is Used &amp; in heavily used cosmetic condition - 100% Fully Functional, iCloud Clear, ",0,129.99,Used,0,None,Black,16,iPad 2,0,10821
,1,0.99,Used,Unknown,Unknown,Unknown,32,iPad 1,1,10822
"Like new, used by an adult only. Always kept I sleeve when not in use.",1,239,Used,0,None,Space Gray,32,iPad mini 2,1,10823
,0,250,New,0,None,Black,16,iPad 3,1,10824
,1,150,Used,1,Verizon,Unknown,16,iPad mini,1,10825
,1,75,Used,1,Verizon,Black,Unknown,iPad mini,1,10826
This iPad is set back to factory settings with NO ICLOUD! Ready for anyone to set up! Comes in ,1,319.99,Used,0,None,White,16,iPad Air 2,1,10827
,1,249.97,Manufacturer refurbished,1,Unknown,Black,64,iPad 2,0,10828
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,188,Used,1,AT&T,White,32,Unknown,0,10829
,1,300,New,0,None,Space Gray,32,iPad Air,1,10830
Like-New condition. Please scroll all the way down to the bottom of the page and read the entire ,0,199.99,Used,0,None,White,16,iPad mini,0,10831
No scratches on the screen. In excellent working conditon. Case has marks from storing. l,1,160.57,Used,0,None,Unknown,16,iPad mini,1,10832
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,182,Used,1,Verizon,White,32,iPad 2,0,10833
,0,300,Used,0,None,Black,64,Unknown,1,10834
,1,109,Used,0,None,Unknown,16,iPad mini,1,10835
,1,125,Used,Unknown,Unknown,Unknown,32,iPad 2,0,10836
,0,37.98,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,10837
,1,400,New,1,Sprint,Space Gray,16,iPad Air 2,1,10838
,0,529.99,New,1,Unknown,Space Gray,64,iPad mini 3,0,10839
,1,0.99,Used,0,None,Unknown,16,iPad 4,1,10840
very good,1,79.99,Used,0,None,White,16,iPad 1,0,10841
"iPad 1 16G, in excellent condition, a few tiny scratches, only noticeable when screen is off. This ",0,119.99,Used,0,None,Black,16,iPad 1,0,10842
Very minimal use. Kept in hard case since it was purchased. Comes in mint condition with complete ,1,100,Used,1,T-Mobile,Unknown,128,iPad mini 2,1,10843
,1,0.99,Used,0,None,Unknown,32,iPad 2,1,10844
,0,649.99,New other (see details),1,Verizon,Black,128,iPad 4,0,10845
,0,399.99,New,0,None,Space Gray,16,iPad mini 3,1,10846
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,299,Used,1,Unknown,White,64,iPad 4,0,10847
There are minor scratches on the top back edge and very light scratchs on the back. You can&#039;t really ,1,150,Used,0,None,Black,16,iPad mini,1,10848
,0,258.98,New,0,None,White,16,iPad mini,0,10849
VERY CLEAN!LIKE NEW!NO DENTS !VERY MINIMAL SIGNS OF USE! ALMOST MINT.wiped and ready for activation!,0,279.99,Used,0,None,Unknown,16,iPad 4,0,10850
This iPad has been converted from 3G capable to WIFI ONLY.,0,150,Used,0,None,Black,64,iPad 2,0,10851
,0,350,New,0,None,Space Gray,16,iPad mini 3,0,10852
,1,75,Used,1,Unknown,Black,16,iPad 1,1,10853
"Opened box, no cosmetic damages, includes all accessories in retail package. Please contact us with ",1,0.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,10854
,1,0.99,Used,1,AT&T,Unknown,16,iPad mini 2,1,10855
,0,249.99,Used,1,AT&T,White,16,iPad 3,0,10856
,0,200,Used,0,None,Unknown,64,iPad 1,0,10857
screen cracked. name engraving in the back (blacked out),1,100,Used,0,None,Unknown,16,iPad 4,1,10858
Great Condition,0,90,Used,0,None,Unknown,32,iPad 1,1,10859
"No known defects,some slight scratches on the back of ipad.",1,375,Used,0,None,White,128,iPad mini 2,1,10860
"It is Geek Squad certified. It was activated on February 4, 2015. It has the one year manufacturer ",1,0.99,Seller refurbished,0,None,White,16,iPad Air 2,1,10861
,0,250,Used,0,None,Black,16,iPad 4,0,10862
Very clean,1,0.99,Used,0,None,White,64,iPad 2,1,10863
,1,185,New,0,None,White,16,iPad mini 2,1,10864
Brand new open retail box item. All contents are new. The ipad and accessories still have plastic on ,0,579.99,New other (see details),0,None,White,128,iPad Air,0,10865
,1,0.99,Used,0,None,Black,16,iPad 1,1,10866
,1,500,Used,1,Unknown,White,128,iPad Air,0,10867
In great shape! Almost new!,1,107,Used,1,Unknown,Black,32,iPad 4,1,10868
"Perfect condition, barely used, no scratches or damage, still in the box along with the charger",1,300,Used,0,None,Unknown,16,Unknown,1,10869
"Note: Frame is slight dented, back cover is faded",0,159.99,Used,0,None,Black,32,iPad mini,1,10870
,1,45,Used,0,None,Unknown,32,iPad 1,1,10871
This item is in Excellent cosmetic condition. It will not have any scratches on the screen. It may ,0,249.99,Used,1,AT&T,White,64,iPad mini,1,10872
VERY CLEAN!LIKE NEW!NO DENTS just very little air-like scratches in the bacK!wiped and ready for ,0,279.99,Seller refurbished,0,None,Unknown,16,iPad 4,0,10873
VERY CLEAN!LIKE NEW!NO DENTS AT ALL-JUST NORMAL SIGNS OF REGULAR CAREFUL USE- LOOKS ALMOST ,0,276.99,Seller refurbished,0,None,Unknown,16,iPad 4,0,10874
"Very good condition. Screen protector on, 1 small ding, always kept in case",0,95,Used,1,AT&T,Unknown,16,iPad 1,1,10875
Bought refurbished by manufacturer,1,10,Used,0,None,Black,32,iPad 1,1,10876
100% Great Condition!!  Had in a case all the time and handled with care.The iPad does have a case ,0,379.99,Used,0,None,Black,16,iPad Air,0,10877
,0,275,Used,1,AT&T,Black,16,iPad mini,0,10878
,1,145,Used,Unknown,Unknown,Space Gray,32,Unknown,0,10879
,1,275,Used,0,None,Space Gray,64,iPad 3,1,10880
Good Condition! Fully Functional!,1,0.99,Seller refurbished,0,None,Black,32,iPad 1,1,10881
,1,200,Used,0,None,Black,16,iPad 3,1,10882
this ipad is in mint mint condition! was actuuly almost never used was just open and sealed was ,0,439,Used,0,None,Unknown,64,iPad Air,0,10883
,0,379,Used,1,AT&T,Unknown,16,iPad Air,0,10884
"works perfectly this ipad is in good conditions, but the screen goes and come, it need to be fix or ",1,0.99,Used,0,None,Black,32,iPad mini,1,10885
New in the opened package.  All is still sealed.  Few small cuts into the outer box on the outside ,0,350,New other (see details),1,T-Mobile,Unknown,16,iPad mini 2,0,10886
,0,180,Used,0,None,White,16,iPad mini 2,1,10887
,0,194.85,Seller refurbished,1,Verizon,Black,32,iPad 2,0,10888
Tablet is in GREAT condition! The screen is free of scratches. The case has a few light scuffs. ,0,360,Used,0,None,Black,64,iPad Air,0,10889
"Looks like new, with original box, very very minor scratch (can barely see it)",0,500,Used,0,None,Black,128,iPad 4,0,10890
This item is in perfect working condition with no visible wear. Delivered in original manufacturer ,0,463.26,Used,1,AT&T,White,32,iPad 3,0,10891
,1,0.99,Manufacturer refurbished,1,Unknown,Black,32,iPad 1,1,10892
"Working. Tested wifi, touch, sound, buttons, charge port. Scratched case. Light scratches on lcd. No ",0,99,Used,1,Verizon,Black,16,iPad 2,0,10893
,0,795.99,Manufacturer refurbished,1,AT&T,Space Gray,128,iPad Air,0,10894
NEAR MINT BEAUTIFUL DISPLAY MINIMAL SIGNS OF USE. SEE PHOTOS FOR DETAILS. INCLUDES FREE BRAND NEW ,1,259.95,Used,0,None,White,16,iPad mini 2,0,10895
"This is in excellent condition, only mark is on back, where a name has been etched and etch has been ",0,275,Seller refurbished,0,None,White,64,iPad 3,1,10896
,1,100,New,0,None,Black,16,Unknown,1,10897
,1,100,Used,0,None,White,64,iPad mini 3,1,10898
,1,0.99,Used,1,Verizon,White,16,iPad 2,1,10899
like brand new,1,300,Used,0,None,Unknown,64,iPad 3,0,10900
,1,125,Used,0,None,Black,64,iPad 3,1,10901
Great Condition - Cosmetically 8 out of 10 and includes Warranty and FREE Magnetic Smart Cover!,0,199.99,Seller refurbished,0,None,Black,16,iPad 2,1,10902
,0,244.97,New,0,None,White,16,iPad mini,0,10903
Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ,1,249.97,Used,1,Unknown,Unknown,32,iPad 2,0,10904
,1,175,New,0,None,Unknown,16,iPad mini,1,10905
,0,199.99,Used,0,None,Unknown,16,iPad mini,0,10906
Looks brand new! Always been kept in a case!,1,75,Used,0,None,Unknown,64,iPad mini,1,10907
,1,500,New,1,Unknown,White,128,iPad Air 2,0,10908
,0,660,New,0,None,White,Unknown,iPad Air 2,0,10909
,0,359.99,New,0,None,White,16,iPad mini 3,0,10910
This item is an open box unit. The iPad does not show any signs of use. It includes the original ,0,525,New other (see details),0,None,White,64,iPad Air 2,0,10911
"Includes iPad only. Does not include USB/power cord, additional accessories or box. Shows some signs ",1,0.99,Used,0,None,Unknown,16,iPad Air,1,10912
,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10913
Grade A condition means that the Ipad is 100% working condition. Cosmetically 8/9 out of 10 - Will ,0,209.85,Manufacturer refurbished,1,Verizon,Black,16,iPad mini,0,10914
Tablet is Good Working and has been reset to factory settings.,0,299.99,Used,0,None,Unknown,16,iPad 4,0,10915
,0,149.97,Used,0,None,Unknown,16,iPad 2,0,10916
,1,179.99,Used,0,None,Unknown,16,iPad 2,0,10917
"This is a used iPad, and has a few minor scratches on the front as well as back. There are no cracks ",0,174.99,Used,1,AT&T,Black,64,iPad 2,1,10918
,1,250,New other (see details),0,None,White,64,iPad Air 2,1,10919
"almost new, has small scratches on the side (as pictured) works perfectlycord and charger are ",0,250,Used,0,None,Black,16,iPad 4,1,10920
,0,349.99,New,Unknown,Unknown,Gold,Unknown,Unknown,0,10921
,1,200,Used,0,None,Black,16,iPad mini,0,10922
,1,10,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,10923
"Overall excellent condition, very minor signs of use.",0,449.95,Used,1,Unknown,Gold,64,iPad mini 3,0,10924
iPad mini 2/ Retina Display/ Latest Model/ 64GB/ Wi-Fi/ Silver&amp;White . Near Mint Condition excellent ,0,350.25,Used,0,None,Unknown,64,iPad mini 2,0,10925
,1,260,New other (see details),0,None,Unknown,16,iPad Air 2,1,10926
,0,479.99,New other (see details),0,None,Black,16,iPad 4,0,10927
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,154,Used,1,Verizon,White,32,iPad 2,0,10928
Great working iPad 4 32GB Wifi - Please read full desciption,1,239,Used,0,None,White,32,iPad 4,0,10929
Flawless Condition(10/10) 100% functional with Flawless Retina Display. Unit is free of ,0,376,Used,1,AT&T,Black,64,iPad mini 2,0,10930
,1,0.99,Used,0,None,White,32,iPad 2,1,10931
,0,385,New,0,None,White,16,iPad mini 3,0,10932
"Heavily Used condition. 100% Fully Functional, iCloud Clear, professionally restored, inspected, and ",0,322.99,Used,0,None,Space Gray,32,iPad Air,0,10933
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,162,Used,1,Verizon,White,16,iPad 2,0,10934
,0,675,New,1,Unknown,White,64,iPad Air 2,1,10935
,1,10,Used,1,AT&T,Black,16,iPad 3,1,10936
,1,120,Used,0,None,White,16,iPad 2,1,10937
Good working condition and fully functional 16GB iPad Air Wifi. Please read full discription,1,229,Used,0,None,Space Gray,16,iPad Air,0,10938
,1,459.99,New,0,None,Unknown,64,iPad mini 3,0,10939
"LIKE NEW (MODEL A1430) + BLUETOOTH KEYBOARD (LATEST MODEL A1314), LEATHER CREAM SMART COVER, BLACK ",0,350,Used,1,Verizon,Black,16,iPad 3,0,10940
Item is used and shows general wear associated with normal use. It has visible cosmetic ,1,149.98,Used,1,AT&T,Unknown,16,iPad 1,0,10941
,0,105,Used,1,Unknown,Black,64,iPad 1,1,10942
,1,120,Used,0,None,Unknown,16,iPad mini 2,1,10943
,1,25,Used,0,None,Unknown,16,iPad Air,1,10944
,0,449.99,Used,1,Verizon,Unknown,64,iPad mini 3,0,10945
"Gentle used apple iPad Air, no scratches on screen and almost no visible wear on back of item. No ",0,318,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,10946
Ipad mini is in good condition overall. Has some minor scratches on the back but otherwise in good ,0,400,Used,1,Verizon,Gold,16,iPad mini 3,0,10947
â€œUsed Apple Ipad 16 gig 1st generation in Great working condition and 100% functional.Very little ,0,110,Seller refurbished,0,None,Black,32,iPad 1,0,10948
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,200.29,Seller refurbished,0,None,Black,16,iPad 3,0,10949
,0,339.99,Used,1,T-Mobile,Unknown,16,iPad mini 2,1,10950
,0,829.99,New,1,Unknown,Gold,128,iPad Air 2,0,10951
"Never dropped, no scratches. Rarely used.",1,150,Seller refurbished,0,None,Unknown,16,iPad 2,0,10952
,0,529.99,Used,0,None,Space Gray,16,iPad Air 2,0,10953
,0,300,Used,0,None,Unknown,32,iPad mini 2,0,10954
,1,70,Used,1,AT&T,Black,16,iPad 1,0,10955
,0,279.99,Used,Unknown,Unknown,Space Gray,16,iPad Air,0,10956
,0,241.88,New,0,None,White,16,iPad mini,1,10957
,1,0.99,Used,0,None,Black,16,iPad mini,1,10958
,0,115,Used,0,None,Unknown,64,iPad 1,0,10959
,1,499,New,1,Unknown,Black,64,iPad 1,0,10960
,1,375,New,Unknown,Unknown,White,64,iPad mini 3,1,10961
,0,499,New,1,Unknown,Unknown,128,iPad mini 2,1,10962
